Quantidade média de operações para inserção de registros aleatórios
, Arvore AVL, Arvore Rubro-negran, Arvore B
, 31596.301, 2418.100, 4676.300 
, 32008.500, 2436.800, 4726.300 
, 32397.100, 2453.900, 4748.700 
, 32769.699, 2472.700, 4798.600 
, 33166.602, 2489.800, 4820.900 
, 33550.301, 2508.000, 4868.200 
, 33935.500, 2524.900, 4890.600 
, 34318.500, 2543.400, 4938.000 
, 34711.801, 2560.600, 4960.500 
, 35111.500, 2578.800, 5009.300 
, 35511.801, 2596.400, 5031.800 
, 35910.500, 2615.200, 5080.600 
, 36325.500, 2632.300, 5103.100 
, 36748.898, 2650.900, 5150.600 
, 37170.199, 2668.000, 5173.200 
, 37576.102, 2686.200, 5220.800 
, 37997.398, 2703.400, 5243.500 
, 38427.500, 2721.500, 5293.700 
, 38849.898, 2738.700, 5316.300 
, 39267.102, 2757.300, 5366.400 
, 39701.000, 2774.600, 5388.900 
, 40132.898, 2793.000, 5435.200 
, 40567.199, 2810.200, 5457.900 
, 40996.699, 2828.000, 5504.400 
, 41438.199, 2845.400, 5527.300 
, 41885.898, 2863.600, 5575.300 
, 42334.199, 2881.200, 5598.300 
, 42780.898, 2900.000, 5646.400 
, 43268.398, 2917.700, 5669.500 
, 43776.898, 2936.400, 5716.400 
, 44265.500, 2954.600, 5739.700 
, 44671.199, 2973.200, 5786.800 
, 45115.602, 2991.400, 5810.300 
, 45583.301, 3010.500, 5862.500 
, 46001.602, 3028.900, 5885.800 
, 46379.301, 3048.200, 5937.800 
, 46797.699, 3066.300, 5960.900 
, 47181.398, 3085.500, 6010.200 
, 47567.898, 3103.900, 6033.300 
, 47949.398, 3122.700, 6082.600 
, 48342.898, 3141.100, 6105.700 
, 48742.602, 3160.300, 6156.300 
, 49141.801, 3178.600, 6179.300 
, 49541.602, 3198.700, 6229.800 
, 49956.602, 3216.800, 6252.700 
, 50380.000, 3236.400, 6301.800 
, 50801.301, 3254.500, 6324.700 
, 51207.000, 3273.500, 6373.800 
, 51628.500, 3291.900, 6396.700 
, 52058.801, 3311.200, 6448.300 
, 52482.102, 3329.500, 6471.000 
, 52898.602, 3349.000, 6522.400 
, 53332.102, 3367.100, 6544.900 
, 53764.000, 3386.500, 6591.200 
, 54198.102, 3404.500, 6613.900 
, 54627.801, 3423.500, 6660.400 
, 55069.500, 3442.100, 6683.300 
, 55517.199, 3461.300, 6731.300 
, 55965.500, 3479.900, 6754.300 
, 56411.801, 3499.600, 6802.400 
, 56884.102, 3518.500, 6825.500 
, 57367.000, 3537.700, 6872.400 
, 57841.801, 3555.800, 6895.700 
, 58280.602, 3575.100, 6942.800 
, 58742.102, 3593.500, 6966.300 
, 59217.199, 3612.900, 7017.300 
, 59671.102, 3631.500, 7040.700 
, 60106.602, 3650.800, 7091.600 
, 60566.199, 3668.600, 7114.900 
, 61015.000, 3688.100, 7163.200 
, 61465.500, 3706.500, 7186.600 
, 61911.398, 3725.500, 7235.000 
, 62368.699, 3743.900, 7258.500 
, 62832.199, 3762.900, 7308.300 
, 63296.699, 3781.700, 7331.800 
, 63759.000, 3801.100, 7381.600 
, 64238.199, 3819.400, 7405.100 
, 64725.602, 3839.000, 7453.600 
, 65210.898, 3857.100, 7477.200 
, 65680.797, 3876.100, 7525.800 
, 66166.297, 3894.700, 7549.500 
, 66660.203, 3913.600, 7600.700 
, 67146.602, 3931.800, 7624.300 
, 67628.000, 3951.600, 7675.400 
, 68125.703, 3969.700, 7698.900 
, 68621.398, 3988.900, 7746.200 
, 69119.898, 4007.300, 7769.900 
, 69613.398, 4026.100, 7817.400 
, 70117.797, 4044.200, 7841.300 
, 70630.797, 4063.900, 7890.300 
, 71143.102, 4082.500, 7914.300 
, 71653.398, 4101.900, 7963.400 
, 72173.703, 4121.000, 7987.500 
, 72694.898, 4140.700, 8035.400 
, 73221.297, 4159.200, 8059.700 
, 73758.000, 4179.300, 8107.800 
, 74300.602, 4198.200, 8132.300 
, 74850.000, 4218.600, 8186.900 
, 75407.102, 4237.800, 8211.200 
, 75969.703, 4258.300, 8265.600 
, 76542.602, 4277.600, 8289.700 
, 77125.898, 4297.800, 8341.400 
, 77712.797, 4317.000, 8365.500 
, 78295.898, 4336.800, 8417.200 
, 78892.000, 4356.200, 8441.300 
, 79495.500, 4376.600, 8494.300 
, 80099.102, 4395.700, 8518.300 
, 80704.500, 4416.800, 8571.200 
, 81327.203, 4436.200, 8595.100 
, 81956.898, 4456.300, 8646.600 
, 82585.898, 4475.300, 8670.500 
, 83202.703, 4495.800, 8722.000 
, 83834.602, 4515.200, 8745.900 
, 84476.102, 4535.100, 8799.900 
, 85111.102, 4554.300, 8823.600 
, 85741.898, 4574.900, 8877.400 
, 86390.602, 4594.400, 8900.900 
, 87037.703, 4614.400, 8948.200 
, 87688.602, 4633.600, 8971.900 
, 88335.898, 4653.600, 9019.400 
, 88996.000, 4673.000, 9043.300 
, 89663.500, 4693.400, 9092.300 
, 90331.102, 4712.500, 9116.300 
, 91000.500, 4733.700, 9165.400 
, 91695.398, 4753.800, 9189.500 
, 92401.703, 4773.800, 9237.400 
, 93102.203, 4793.200, 9261.700 
, 93765.500, 4813.200, 9309.800 
, 94453.602, 4832.600, 9334.300 
, 95156.297, 4853.000, 9386.300 
, 95838.797, 4872.600, 9410.700 
, 96503.500, 4892.700, 9462.600 
, 97195.203, 4912.000, 9486.900 
, 97874.703, 4932.400, 9536.200 
, 98557.602, 4951.600, 9560.600 
, 99237.102, 4971.600, 9610.000 
, 99927.703, 4990.500, 9634.500 
, 100628.102, 5011.000, 9685.300 
, 101327.898, 5030.300, 9709.800 
, 102029.102, 5051.200, 9760.600 
, 102746.898, 5070.500, 9785.100 
, 103473.898, 5091.100, 9834.600 
, 104198.703, 5109.900, 9859.200 
, 104911.102, 5130.200, 9908.800 
, 105638.102, 5149.300, 9933.500 
, 106377.102, 5169.900, 9985.700 
, 107109.000, 5189.200, 10010.300 
, 107834.703, 5209.500, 10062.400 
, 108579.398, 5229.000, 10086.900 
, 109322.500, 5249.000, 10135.200 
, 110068.297, 5267.900, 10159.900 
, 110812.898, 5288.400, 10208.400 
, 111569.000, 5307.800, 10233.300 
, 112332.297, 5328.000, 10283.300 
, 113095.898, 5347.100, 10308.300 
, 113861.102, 5368.600, 10358.400 
, 114668.203, 5389.000, 10383.500 
, 115496.102, 5409.100, 10432.400 
, 116305.398, 5428.600, 10457.700 
, 117032.898, 5448.800, 10506.800 
, 117800.797, 5468.000, 10532.300 
, 118592.898, 5488.300, 10586.500 
, 119336.203, 5508.000, 10611.800 
, 120039.703, 5528.500, 10665.800 
, 120784.500, 5547.300, 10690.900 
, 121497.102, 5568.000, 10742.200 
, 122211.797, 5587.000, 10767.300 
, 122923.297, 5607.000, 10818.600 
, 123647.203, 5626.400, 10843.700 
, 124378.703, 5646.800, 10896.300 
, 125111.602, 5666.400, 10921.300 
, 125843.898, 5687.000, 10973.800 
, 126593.297, 5706.100, 10998.700 
, 127352.102, 5726.500, 11049.800 
, 128110.398, 5746.000, 11074.700 
, 128853.898, 5766.000, 11125.800 
, 129612.500, 5784.900, 11150.700 
, 130383.297, 5805.300, 11204.300 
, 131146.297, 5824.500, 11229.000 
, 131905.297, 5845.100, 11282.400 
, 132681.594, 5864.400, 11306.900 
, 133457.094, 5884.800, 11355.200 
, 134236.000, 5904.000, 11379.900 
, 135011.297, 5924.000, 11428.400 
, 135799.406, 5943.400, 11453.300 
, 136594.703, 5963.600, 11503.300 
, 137391.594, 5983.200, 11528.300 
, 138187.500, 6003.900, 11578.400 
, 139009.297, 6023.500, 11603.500 
, 139845.094, 6044.200, 11652.400 
, 140673.594, 6063.600, 11677.700 
, 141464.906, 6083.600, 11726.800 
, 142281.000, 6103.000, 11752.300 
, 143111.500, 6123.200, 11805.300 
, 143921.797, 6142.600, 11830.700 
, 144714.906, 6162.900, 11883.600 
, 145534.594, 6182.400, 11908.900 
, 146341.703, 6202.400, 11959.200 
, 147152.594, 6221.600, 11984.600 
, 147960.094, 6241.600, 12035.000 
, 148780.000, 6261.000, 12060.500 
, 149607.500, 6281.400, 12112.300 
, 150436.203, 6300.800, 12137.800 
, 151264.297, 6321.400, 12189.600 
, 152110.094, 6340.700, 12215.100 
, 152965.094, 6361.300, 12265.600 
, 153819.203, 6380.600, 12291.200 
, 154658.500, 6400.600, 12341.800 
, 155514.406, 6419.800, 12367.500 
, 156380.094, 6439.900, 12420.700 
, 157240.203, 6459.400, 12446.300 
, 158094.094, 6479.900, 12499.400 
, 158966.594, 6499.200, 12524.900 
, 159837.906, 6519.400, 12574.200 
, 160712.594, 6538.400, 12599.900 
, 161583.906, 6558.400, 12649.400 
, 162468.203, 6578.000, 12675.300 
, 163359.500, 6598.200, 12726.300 
, 164251.094, 6617.300, 12752.300 
, 165144.500, 6638.700, 12803.400 
, 166110.797, 6658.900, 12829.500 
, 167118.094, 6679.700, 12879.400 
, 168079.406, 6699.300, 12905.700 
, 168872.000, 6720.400, 12955.800 
, 169735.203, 6740.800, 12982.300 
, 170641.297, 6761.600, 13038.700 
, 171442.000, 6782.300, 13064.900 
, 172158.297, 6803.600, 13121.000 
, 172948.094, 6823.900, 13146.900 
, 173659.203, 6844.900, 13200.200 
, 174374.094, 6865.100, 13226.000 
, 175085.406, 6886.100, 13279.200 
, 175809.500, 6906.500, 13304.900 
, 176540.797, 6927.700, 13359.300 
, 177273.906, 6948.500, 13384.800 
, 178006.000, 6969.900, 13439.000 
, 178755.594, 6990.200, 13464.300 
